ID,Review Date,Location,Hotel/Restaurant name,Review
rn572905503,"Reviewed April 12, 2018 ", Kathu,Thong Dee The Kathu Brasserie,We visit here regularly and never fail to be impressed by the quality and presentation of the food. We have tried many of the dishes from their extensive menu and are always totally satisfied with all they have to offer. The Boss Patrick and their...More
rn572364712,"Reviewed April 10, 2018 ", Kathu,Thong Dee The Kathu Brasserie,Visited this wonderful place on my travels and i cannot complain about anything. We where greeted with a warm welcome of smiles and hellos. The food was outstanding and presented so well. I would highly recommend this place and i will be back again. 10...More
rn572308369,"Reviewed April 9, 2018 ", Kathu,Thong Dee The Kathu Brasserie,We travel to Phuket every year from Australia and visit Patrick and his lovely wife each time we visit. They are a fantastic team providing delicious food and outstanding service. The entire staff are like a big family. They always greet us as old friends...More
rn572053040,"Reviewed April 8, 2018 ", Kathu,Thong Dee The Kathu Brasserie,Had roast beef and lamb plenty of it and very tender had to wait 30 min as lamb not ready worth the wait as they gaVE ME BRUSHetta free may be nit picking but no mustard or horseradish never saw staff from beginning to end...More
rn571915434,"Reviewed April 8, 2018 ", Kathu,Thong Dee The Kathu Brasserie,"This place has a lot to learn when it comes to Thai cooking, my meal consisted of clear noodles, shrimp and pork with spicy water instead of a gravy or sauce. Ended up sharing my wife? meal which wasn? very good either. Owner offered free...More"
rn571792182,"Reviewed April 7, 2018 ", Kathu,Thong Dee The Kathu Brasserie,"This restaurant oozes class as soon as you enter the restaurant,well schooled staff who look after you,service is excellent and attention to the finer details enhance your dining experience
The food and presentation is first class the attention of the owner on our special celebration...More"
rn571778672,"Reviewed April 7, 2018 ", Kathu,Thong Dee The Kathu Brasserie,"Put simply, just one of the best dining experiences I have ever had. Things just happened the way they should. The service
was excellent,but not overwhelming, and the food was fantastic. We both loved it. It? a little hard to find, but well worth the...More"
rn568652106,"Reviewed March 25, 2018 ", Kathu,Thong Dee The Kathu Brasserie,Just had a very very delicious dinner here at Thong Dee The Kathu Brasserie! I must say this is a must-go if you are in Phuket. The owner Patrick is very friendly and gave us a warm welcome together with his staff. The fooooood -...More
rn568221554,"Reviewed March 23, 2018 ", Kathu,Thong Dee The Kathu Brasserie,"Visited this hidden gem a couple of times and I was always 100% happy and satisfied. ThongDee Brasserie in Kathu offers a selection of mouthwatering western and authentic Thai dishes, as well as a reasonable selection of red and white wines. Everything is fresh cooked...More"
rn568218874,"Reviewed March 23, 2018 ", Kathu,Thong Dee The Kathu Brasserie,"A hidden gem in Kathu. Attentive service, creative and yummy food. A have to visit restaurant in Phuket.More"
rn567819459,"Reviewed March 21, 2018 ", Kathu,Thong Dee The Kathu Brasserie,The meats were cooked to perfection and showed skill and dedication in the preparation. Staff were certainly very friendly. Overall very impressive and a must go if you visit PhuketMore
rn566392361,"Reviewed March 13, 2018 ", Kathu,Thong Dee The Kathu Brasserie,"Thanks for the wonderful experience . the staff &other owner also very friendly My really had a great time Excellent ,highly recommended. The best restaurant in PhuketMore"
rn565552411,"Reviewed March 9, 2018 ", Kathu,Thong Dee The Kathu Brasserie,"The food was amazingly perfect, the place and so are the lovely staff.. Thank you for the wonderful experience Thong Dee and for the warm welcome.. More power.<f0><U+009F><U+0091><U+008D>More"
rn565552237,"Reviewed March 9, 2018 ", Kathu,Thong Dee The Kathu Brasserie,I would definitely recommend this restaurant. The price was fair and the food was very good! A very cozy place. The staff and the owner were also very friendly. Definitely coming back!More
rn565550046,"Reviewed March 9, 2018 ", Kathu,Thong Dee The Kathu Brasserie,"First time in phuket with my wife, and fell in love with thai foods served by this restaurant.. thumbs up to the team... we really had a great time.
Best restaurant so far<f0><U+009F><U+0091><U+008D>More"
rn565473041,"Reviewed March 9, 2018 ", Kathu,Thong Dee The Kathu Brasserie,"Nice & amazing place place...... <f0><U+009F><U+0098><U+008B><f0><U+009F><U+0099><U+0082>the welcom, ,,,food &service was great like always, ,,just come and visit ThongDee ^^^i hope your dinner time&money won't. be wasted <f0><U+009F><U+0098><U+0089><f0><U+009F><U+0098><U+0089><f0><U+009F><U+0098><U+0089>i really recommend tjis Thong Dee for everyone, ,,food & staff & patrik and Chef phonchan also very great&nice...More"
rn565366822,"Reviewed March 8, 2018 ", Kathu,Thong Dee The Kathu Brasserie,"I always make a point of visiting Thong Dee when I'm in town and I'm never disappointed. Fantastic food, excellent service as always. You're still the best around guys. See you soon. Neil & KhagMore"
rn565238047,"Reviewed March 8, 2018 ", Kathu,Thong Dee The Kathu Brasserie,We had a thoroughly enjoyable evening with good quality well cooked food. We shared a variety of tasty starters followed by a duck a L?range ( specialty of the house ) which was most tender and succulent. The owner was most hospitable and his wife...More
rn565181782,"Reviewed March 7, 2018 ", Kathu,Thong Dee The Kathu Brasserie,"Last night we passed this restaurant and decided to call in and try it out. Well I am very pleased we did!! The food, a mixture of European and Thai, was excellent. The presentation was first class as were the staff , who made sure...More"
rn564902611,"Reviewed March 6, 2018 ", Kathu,Thong Dee The Kathu Brasserie,"Had a great time with my mates.
The food was awsome..just as the last time I was here; )
Highly recommended..More"
rn564838395,"Reviewed March 6, 2018 ", Kathu,Thong Dee The Kathu Brasserie,"The food were delicious especially the Thai curry sauce. I love spring rolls, it was tasty. the place were lovely and ambiance is so homey. Staff are friendly and service is so fast. I would probably come back and recommend to my friends.More"
rn564828014,"Reviewed March 6, 2018 ", Kathu,Thong Dee The Kathu Brasserie,Food was good as always and the staff very attentive. Fun to talk too. At all a very pleasant experience as always. Keep up the good work. <f0><U+009F><U+0098><U+0081>More
rn564811514,"Reviewed March 5, 2018 ", Kathu,Thong Dee The Kathu Brasserie,"The best restaurant in phuket, food are delicious, the staffs are very accommodating and the place is so nice. Excellent, highly recommended.More"
rn564581021,"Reviewed March 5, 2018 ", Kathu,Thong Dee The Kathu Brasserie,From Bangkok to Phuket up and down the island this was the best food we've had they mix a little European Flair with Thai Cuisine. The beef in Thai curry sauce is amazing the spring rolls of the best I've had the roasts are to...More
rn564479733,"Reviewed March 4, 2018 ", Kathu,Thong Dee The Kathu Brasserie,"European/Scandinavian brasserie up there with the best restaurants in Patong/kathu/Kata/Karon area
Friendly atmosphere professional staff and management
Classic and fusion thai food is also included in the menu so is also special limited set menues
Go and try for yourself if you haven? been thereMore"
rn564256149,"Reviewed March 4, 2018 ", Kathu,Thong Dee The Kathu Brasserie,"Nice breeze throughout the restaurant , service is really great and the owner comes at tables which makes it feel special . RecommendedMore"
rn564148129,"Reviewed March 3, 2018 ", Kathu,Thong Dee The Kathu Brasserie,A little difficult to find in a more remote part of Kathu but worth the journey. We were warmly received by the Chilean owner. (His Thai wife is the Chef). We ate from the western menu.The food was delicious and the plating nicely done. Wines...More
rn564101485,"Reviewed March 3, 2018 ", Kathu,Thong Dee The Kathu Brasserie,"While visiting Thailand, one has to eat the best Thai food, and of course, we looked at Trip Advisor to acquire its patrons' opinions. This restaurant rated No. 1, and had raving reviews. Given that, my husband, adult daughter and I decided to give Thong...More"
rn563809143,"Reviewed March 2, 2018 ", Kathu,Thong Dee The Kathu Brasserie,"I eat here about once a week, always something nice on the menu, Food is fantastic everything I tried, good portions not too large, friendly service, very kind prices, I can't wait to go back there againMore"
rn563478171,"Reviewed February 28, 2018 ", Kathu,Thong Dee The Kathu Brasserie,"I've been to different places yet I never experienced excellent foods and great service at the same time, until I came to this restaurant. All I must say is AWESOME.More"
rn562105147,"Reviewed February 22, 2018 ", Kathu,Thong Dee The Kathu Brasserie,"Back in Phuket since four days we stayed already second time at Thong Dee tonight. The welcome, food and service was great like always. Thanks to Chef Khun Phonchan and Patrik and the team for the extraordinary hospitality. Quality is the key for succes. See...More"
rn561900489,"Reviewed February 21, 2018 ", Kathu,Thong Dee The Kathu Brasserie,"Truly first class in every respect. Menu range, food, service, ambience. A place for special ocassions without the children.More"
rn560969399,"Reviewed February 16, 2018 ", Kathu,Thong Dee The Kathu Brasserie,"If you are looking for the BEST, just come and visit Thongdee's. I promise, your time and money won't be wasted.More"
