ID,Review Date,Location,Hotel/Restaurant name,Review
rn577658800,Reviewed 2 weeks ago , Kata Beach,Odysseus Greek Organic Restaurant,We have been in puket for the past week and was getting fed up with the same food. Food this place on trip advisor and gave it a go. Do not hesitate to try!!!! Fantastic place with fresh food and the owner is outstanding. Fantastic...More
rn577329845,Reviewed 2 weeks ago , Kata Beach,Odysseus Greek Organic Restaurant,We visited Odysseus because we needed a little change from all the Thai food and it was a great choice. The food was tasty with the authentic Greek flavor. Both my partner and I had the chicken souvlaki wraps and a glass of wine each....More
rn577298219,Reviewed 2 weeks ago , Kata Beach,Odysseus Greek Organic Restaurant,"Saw the TA reviews and thought we? give it a try on the way back from a trip to Chalong Temple. Service was great and the owner made a terrific atmosphere in the restaurant with his personable nature and singing whilst cooking. Food was delicious,...More"
rn577106257,Reviewed 2 weeks ago , Kata Beach,Odysseus Greek Organic Restaurant,"We went out for dinner and stopped at this Greek Restaurant. The food was fresh, healthy and light. The owner Dimitri is very friendly and we went 6 times to this amazing place :)"
rn577006674,Reviewed 2 weeks ago , Kata Beach,Odysseus Greek Organic Restaurant,I regret I wait till my last night in Kala to visit Odysseus. I had a delicious Mousaka with a glass of wine. I also tried the most delicious tzatziki and hummus I've had in sooo long. The restaurant has a great atmosphere and the...More
rn576973380,Reviewed 2 weeks ago , Kata Beach,Odysseus Greek Organic Restaurant,"This restaurant is amazing. Dimitri the owner is very passionate about what he does, and is such a friendly guy. The food was delicious, healthy and organic. We can't stop coming back and have literally been eating here every 2 days!"
rn576050273,Reviewed 3 weeks ago , Kata Beach,Odysseus Greek Organic Restaurant,Top top top!! Was looking for a Thai restaurant when we stumbled across Odysseus... What a great find! Authentic Greek cuisine made from scratch and organic where they could manage. Had the tzatziki starter with pita (homemade Greek yogurt and pita!!) Along with a beef...More
rn575986029,Reviewed 3 weeks ago , Kata Beach,Odysseus Greek Organic Restaurant,We were welcomed right away at this restaurant by the lovely servers and owner. The restaurant has a wide selection of Greek food that were fantastic after a day in the sun. It was perfect to taste olive oil again. We started off with the...More
rn575963181,Reviewed 3 weeks ago , Kata Beach,Odysseus Greek Organic Restaurant,"The service and owner were lovely and welcoming. The food we both had was nice and a good price too. We shared houmous with pitta to start, mousakka and chicken slouvaki for our mains with a side of fried potatoes. We drank Chang and bottled...More"
rn575816930,Reviewed 3 weeks ago , Kata Beach,Odysseus Greek Organic Restaurant,Everything was perfect! The food was very delicious and taste! Perfect products! Good job! Keep up the good work!
rn575619206,Reviewed 3 weeks ago , Kata Beach,Odysseus Greek Organic Restaurant,"Authentic Greek cuisine. Excellent food. We had grape leaves, beef souvlaki, and pita and tzatziki sauce. Everything was amazing. Great flavor and fresh ingredients. Highly recommend."
rn575528202,Reviewed 3 weeks ago , Kata Beach,Odysseus Greek Organic Restaurant,It? a shame this restaurant is not on the Main Street of Kata and most people miss it. We stayed in Kata for 8 days and visited and checked places to eat and Odysseus is by far the best restaurant we?e been to. Reasonably priced...More
rn575179175,Reviewed 3 weeks ago , Kata Beach,Odysseus Greek Organic Restaurant,Greek cuisine! The best cuisine!! Very good restaurant! The food was very nice and tasty! Recommended!
rn575120133,Reviewed 3 weeks ago , Kata Beach,Odysseus Greek Organic Restaurant,"Had high expectations with all the good reviews. Very disappointed. also pita bread is thick, seems to be store bought."
rn574908081,Reviewed 4 weeks ago , Kata Beach,Odysseus Greek Organic Restaurant,"Absolutely delicious- had the hommus and pita for entree, grilled chicken with taiziki and salad, the mousaka a must!!! Then to finish a raw chocolate brownie which was super tasty"
rn574857703,Reviewed 4 weeks ago , Kata Beach,Odysseus Greek Organic Restaurant,Family wanted something a little different for dinner. I searched TripAdvisor and found this restaurant. Oh my goodness it did not disappoint. The chicken souvlaki pita wrap. I have not had one since going to Greece and was not disappointed. My family and I will...More
rn574710606,Reviewed 4 weeks ago , Kata Beach,Odysseus Greek Organic Restaurant,"Excellent food, great service, fantastic price and even better company! The spaghetti I order was fast, efficient and the best tasting spaghetti I have ever tasted! Let alone the Odysseus play for 3 is highly recommended"
rn574495816,Reviewed 4 weeks ago , Kata Beach,Odysseus Greek Organic Restaurant,"Enjoyed a beautiful lunch eating traditional Greek food in Phuket.
Great service and great staff
Highly Recommend!"
